Year,SUM(Number)
1990,10010.0
1991,10231.0
1992,8994.0
1993,5977.0
1994,9679.0
1995,8445.0
1996,6379.0
1997,6090.0
1998,10768.0
1999,7608.0
2000,5397.0
2001,7762.0
2002,7878.0
2003,8270.0
2004,6488.0
2005,7452.0
2006,9754.0
2007,6919.0
2008,6239.0
2009,7145.0
2010,7316.0
2011,4678.0
2012,7918.0
2013,6256.0
2014,5020.0
2015,7034.0
2016,5267.0
2017,5658.0
2018,7111.0
2019,4062.0
2020,4001.0
2021,6596.0
